"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref_short","year","ref","filled_by","new_ref","new_ref_short","conflict"
"Transmission parameter",NA,NA,"SLIR",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,"n this paper, a mathematical model for African swine fever is modified by considering the swine farm with the contaminated human vector that is able to infect and spread the disease among swine farms.","Chuchard et al., 2022",2022,"https://doi.org/10.3390/axioms11070329","AA","10.3390/axioms11070329","Chuchard et al., 2022",FALSE
"Other","contact rate","??","SLIR",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,"n this paper, a mathematical model for African swine fever is modified by considering the swine farm with the contaminated human vector that is able to infect and spread the disease among swine farms.","Chuchard et al., 2022",2022,"https://doi.org/10.3390/axioms11070329","AA","10.3390/axioms11070329","Chuchard et al., 2022",FALSE
"Other","contact rate","??","SLIR",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,"n this paper, a mathematical model for African swine fever is modified by considering the swine farm with the contaminated human vector that is able to infect and spread the disease among swine farms.","Chuchard et al., 2022",2022,"https://doi.org/10.3390/axioms11070329","AA","10.3390/axioms11070329","Chuchard et al., 2022",FALSE
"Transmission parameter","contamined pig products",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,3.8024e-11,NA,NA,NA,NA,"To investigate the effect of culling on the African Swine FeverV transmission in China, we formulate the nonlinear dynamic model of African Swine Fever with culling. The basic reproduction number is computed, and we investigate the nonlinear dynamic behaviors of the system. The uniform persistence of the system is proved. For the African Swine Fever model without culling, Lyapunov functions are used to show that the disease free equilibrium is globally asymptotically stable when the basic reproduction number is less than one, and the unique endemic equilibrium is globally asymptotically stable when the basic reproduction number is greater than one.","Song et al., 2023",2023,"https://doi.org/10.1016/j.cnsns.2022.106915","AA","10.1016/j.cnsns.2022.106915","Song et al., 2023",FALSE
"Transmission parameter","direct contact",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,5.4646e-10,NA,NA,NA,NA,"To investigate the effect of culling on the African Swine FeverV transmission in China, we formulate the nonlinear dynamic model of African Swine Fever with culling. The basic reproduction number is computed, and we investigate the nonlinear dynamic behaviors of the system. The uniform persistence of the system is proved. For the African Swine Fever model without culling, Lyapunov functions are used to show that the disease free equilibrium is globally asymptotically stable when the basic reproduction number is less than one, and the unique endemic equilibrium is globally asymptotically stable when the basic reproduction number is greater than one.","Song et al., 2023",2023,"https://doi.org/10.1016/j.cnsns.2022.106915","AA","10.1016/j.cnsns.2022.106915","Song et al., 2023",FALSE
"Basic reproduction number",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,16.2,4.3,41.7,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA","10.1111/tbed.12748","Guinat et al., 2017",TRUE
"Basic reproduction number",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,6.7,1.9,32.3,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA","10.1111/tbed.12748","Guinat et al., 2017",TRUE
"Basic reproduction number",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,17.3,3.5,45.5,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA","10.1111/tbed.12748","Guinat et al., 2017",TRUE
"Basic reproduction number",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,4.4,2,13.4,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA","10.1111/tbed.12748","Guinat et al., 2017",TRUE
"Basic reproduction number",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,12.2,3.5,40.5,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA","10.1111/tbed.12748","Guinat et al., 2017",TRUE
"Basic reproduction number",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,15.9,4.5,58.7,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA","10.1111/tbed.12748","Guinat et al., 2017",TRUE
"Basic reproduction number",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,6.9,3.7,41.3,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA","10.1111/tbed.12748","Guinat et al., 2017",TRUE
"Basic reproduction number",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,12.6,3.7,23.7,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA","10.1111/tbed.12748","Guinat et al., 2017",TRUE
"Basic reproduction number",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,5.6,2.4,18.4,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA","10.1111/tbed.12748","Guinat et al., 2017",TRUE
"Transmission parameter",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,4.8,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12740","AA","10.1111/tbed.12740","Jurado et al., 2017",TRUE
"Transmission parameter",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3,4,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12741","AA","10.1111/tbed.12741","Wen et al., 2017",TRUE
"Transmission parameter",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0.5,5.3,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12742","AA","10.1111/tbed.12742","García-Bocanegra et al., 2017",TRUE
"Transmission parameter",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.3,1.6,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12743","AA","10.1111/tbed.12743","Dall'Agnol et al., 2017",TRUE
"Transmission parameter",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.5,5.1,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12744","AA","10.1111/tbed.12744","Goller et al., 2017",TRUE
"Transmission parameter",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0.7,6.1,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12745","AA","10.1111/tbed.12745","Roy et al., 2017",TRUE
"Transmission parameter",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.7,6.4,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12746","AA","10.1111/tbed.12746","Schulz et al., 2017",TRUE
"Transmission parameter",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0.6,4,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12747","AA","10.1111/tbed.12747","Mira et al., 2017",TRUE
"Transmission parameter",NA,NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.8,0.4,2.8,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA","10.1111/tbed.12748","Guinat et al., 2017",TRUE
"Other","Infectious dose (tissue culture)","TCID50",NA,NA,NA,"Experimental","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"Infectious Dose of African Swine Fever When Consumed Naturally in Liquid or Feed","Niederwerder et al., 2019",2019,"https://doi.org/10.3201/eid2505.181495","AA","10.3201/eid2505.181495","Niederwerder et al., 2019",FALSE
"Other","Infectious dose (feed)","TCID50",NA,NA,NA,"Experimental","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1e+05,NA,NA,NA,NA,"Infectious Dose of African Swine Fever When Consumed Naturally in Liquid or Feed","Niederwerder et al., 2019",2019,"https://doi.org/10.3201/eid2505.181495","AA","10.3201/eid2505.181495","Niederwerder et al., 2019",FALSE
"Probability of transmission via direct contact",NA,"Pert distribution",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.16,0,0.3,NA,NA,"The Risk of Infection by African Swine Fever in European Swine Through Boar Movement and Legal Trade of Pigs and Pig Meat","Taylor et al., 2020",2020,"https://doi.org/10.3389/fvets.2019.00486","AA","10.3389/fvets.2019.00486","Taylor et al., 2020",FALSE
"Other","contact rate","Normal distribution",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.05195,0.0119,0.092,NA,NA,"The Risk of Infection by African Swine Fever in European Swine Through Boar Movement and Legal Trade of Pigs and Pig Meat","Taylor et al., 2020",2020,"https://doi.org/10.3389/fvets.2019.00486","AA","10.3389/fvets.2019.00486","Taylor et al., 2020",FALSE
"Other","length of infectious period for boar carcasses","Pert distribution",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.0410958904109589,0.33972602739726,0.0712328767123288,NA,NA,"The Risk of Infection by African Swine Fever in European Swine Through Boar Movement and Legal Trade of Pigs and Pig Meat","Taylor et al., 2020",2020,"https://doi.org/10.3389/fvets.2019.00486","AA","10.3389/fvets.2019.00486","Taylor et al., 2020",FALSE
"Probability of transmission via indirect contact","Infective insect vector",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.00041,NA,NA,NA,NA,"Even though direct contact is likely to be the main transmission route from infected to susceptible hosts, recent epidemiological investigations have raised questions regarding the role of haematophagous arthropods, in particular the stable fly (Stomoxys calcitrans). In this study, we developed a mechanistic vector-borne transmission model for African Swine Fever virus (African Swine FeverV) within an outdoor domestic pig farm in order to assess the relative contribution of stable flies to the spread of the virus.","Vergne et al., 2020",2020,"https://doi.org/10.1111/tbed.13824","AA","10.1111/tbed.13824","Vergne et al., 2020",FALSE
"Other","% of transmission events by infective insect vector",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,"Even though direct contact is likely to be the main transmission route from infected to susceptible hosts, recent epidemiological investigations have raised questions regarding the role of haematophagous arthropods, in particular the stable fly (Stomoxys calcitrans). In this study, we developed a mechanistic vector-borne transmission model for African Swine Fever virus (African Swine FeverV) within an outdoor domestic pig farm in order to assess the relative contribution of stable flies to the spread of the virus.","Vergne et al., 2020",2020,"https://doi.org/10.1111/tbed.13824","AA","10.1111/tbed.13824","Vergne et al., 2020",FALSE
"Other","% of transmission events by infective insect vector",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,"Even though direct contact is likely to be the main transmission route from infected to susceptible hosts, recent epidemiological investigations have raised questions regarding the role of haematophagous arthropods, in particular the stable fly (Stomoxys calcitrans). In this study, we developed a mechanistic vector-borne transmission model for African Swine Fever virus (African Swine FeverV) within an outdoor domestic pig farm in order to assess the relative contribution of stable flies to the spread of the virus.","Vergne et al., 2020",2020,"https://doi.org/10.1111/tbed.13824","AA","10.1111/tbed.13824","Vergne et al., 2020",FALSE
"Probability of transmission via indirect contact","Transport lorries",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","Nigsch et al., 2013",2013,"https://doi.org/10.1016/j.prevetmed.2012.11.003","AA","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",FALSE
"Probability of transmission via indirect contact","Professional contacts",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","Nigsch et al., 2013",2013,"https://doi.org/10.1016/j.prevetmed.2012.11.003","AA","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",FALSE
"Probability of transmission via indirect contact","Pig movements",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.0647,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","Nigsch et al., 2013",2013,"https://doi.org/10.1016/j.prevetmed.2012.11.003","AA","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",FALSE
